id,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,Y1,Y2,Y3
78,0.002,0.0012,0.0042,0.0142,0.0052,0.0117,0.017,0.0055,0.0003,0.1796,0.075,0.0524,0.0077,0.0047,0.0021,0.0711,0.025,0.013,4,4,4
79,0.0079,0.0064,0.0004,0.0797,0.0298,0.0101,0.059,0.0001,0.0014,0.0735,0.027,0.0099,0.003,0.0038,0.0004,0.11,0.03,0.0101,4,3,4
80,0.0012,0.0003,0.000474,0.0095,0.0015,0.0037,0.0011,0.0005,0.00094,0.0094,0.0009,0.0028,0.0008,0.0063,0.0012,0.0238,0.0093,0.0075,1,1,4
81,0.0012,0.0041,0.0022,0.0235,0.0037,0.0084,0.001,0.0019,0.0005,0.0175,0.0025,0.0032,0.0047,0.0015,0.0006,0.0239,0.0078,0.0142,1,1,3
82,0.0012,0.0021,0.0007,0.0189,0.0029,0.0038,0.0018,0.003,0.000583,0.024,0.0058,0.0102,0.0038,0.0007,0.00127,0.068,0.015,0.027,2,1,4
83,0.0026,0.0011,0.0024,0.0219,0.0076,0.0141,0.0072,0.0171,0.0014,0.0678,0.0077,0.006,0.0064,0.0052,0.0011,0.1429,0.0238,0.0083,4,1,3
84,0.0001,0.0007,0.0012,0.0147,0.0054,0.0061,0.003,0.0017,0.0007,0.0159,0.0049,0.0118,0.0016,0.0002,0.0002,0.0256,0.0089,0.0088,3,1,3
85,0.0085,0.0024,0.0005,0.02,0.0073,0.0151,0.001,0.0008,0.0018,0.0043,0.0012,0.0032,0.0008,0.0006,0.0011,0.0114,0.0023,0.008,1,3,4
86,0.0012,0.0013,0.0015,0.0477,0.018,0.0129,0.0011,0.0014,0.001,0.0369,0.0194,0.0059,0.001,0.0029,0.0009,0.044,0.02,0.0112,4,4,4
87,0.0484,0.0034,0.002776,0.0127,0.0019,0.0061,0.0422,0.0015,0.003001,0.0192,0.0055,0.0183,0.0292,0.0125,0.0011,0.0627,0.0215,0.0059,1,1,2
88,0.006,0.0001,0.001,0.0539,0.0194,0.0067,0.0212,0.0056,0.0018,0.079,0.0175,0.0101,0.0916,0.0065,0.0009,0.07,0.0193,0.0127,4,4,4
89,0.0166,0.0017,0.0031,0.046,0.019,0.0127,0.0304,0.0047,0.0007,0.0497,0.0194,0.0178,0.0061,0.0158,0.0013,0.0499,0.016,0.0145,4,4,4
90,0.0009,0.0006,0.0012,0.0143,0.0034,0.0064,0.0928,0.0027,0.0007,0.0196,0.0049,0.0058,0.0051,0.0066,0.0015,0.0929,0.0167,0.0229,4,1,4
91,0.0033,0.0008,0.0015,0.0086,0.0017,0.0037,0.0011,0.0009,0.0008,0.0115,0.0035,0.0109,0.0012,0.0004,0.00211,0.0254,0.0079,0.0175,4,4,3
92,0.0193,0.0015,0.0018,0.0129,0.0047,0.0146,0.0775,0.001,0.0022,0.0137,0.0048,0.0103,0.1613,0.0001,0.0008,0.023,0.0075,0.0139,1,1,4
93,0.0682,0.0004,0.0012,0.0072,0.0018,0.007,0.0018,0.0094,0.0006,0.029,0.0038,0.0086,0.0025,0.0027,2e-05,0.0139,0.0014,0.0056,3,3,3
94,0.0803,0.003,0.0007,0.0182,0.0065,0.0049,0.0127,0.0056,0.0019,0.0188,0.0048,0.0053,0.0879,0.0013,0.0002,0.024,0.0078,0.0135,4,1,3
95,0.0041,0.0029,0.0023,0.0228,0.0044,0.0101,0.0167,0.0013,0.0019,0.0172,0.0067,0.0121,0.0189,0.0024,0.0017,0.0403,0.0113,0.0037,4,3,3
96,0.0105,0.0011,0.0021,0.0319,0.0052,0.0118,0.0419,0.0023,0.0023,0.0261,0.0068,0.0145,0.0329,0.003,0.0021,0.0323,0.0115,0.0078,1,3,3
97,0.1025,0.0003,0.0001,0.0106,0.0022,0.0054,0.0344,0.0025,0.0012,0.0186,0.0054,0.0082,0.0454,0.0042,0.0012,0.0232,0.0071,0.0204,1,1,3
98,0.002,0.0022,0.002,0.0067,0.0019,0.0034,0.0726,0.0012,0.0015,0.0059,0.0013,0.0072,0.1033,0.0086,0.001,0.0286,0.0096,0.0188,1,1,3
99,0.0308,0.0014,0.001,0.0122,0.0021,0.0052,0.0026,0.0007,0.0011,0.0126,0.0017,0.0033,0.1189,0.01,0.0013,0.029,0.0084,0.0094,4,1,3
100,0.001,0.0009,0.001,0.011,0.0029,0.008,0.0402,0.0048,0.0022,0.0458,0.0067,0.0098,0.007,0.002,0.0009,0.0421,0.0114,0.0088,1,1,3
101,0.003,0.0016,0.0006,0.0175,0.0036,0.0037,0.0221,0.0002,0.0004,0.0146,0.0015,0.0032,0.0588,0.0091,0.0016,0.0309,0.0049,0.0093,1,1,2
102,0.0071,0.0052,0.0013,0.01,0.0044,0.0089,0.0078,0.0002,7e-05,0.0146,0.0057,0.0089,0.0687,0.007,0.0004,0.03,0.0074,0.0075,1,1,3
103,0.0544,0.0015,0.0004,0.0107,0.0034,0.0043,0.0674,0.0025,0.001073,0.0098,0.0042,0.0034,0.0503,0.0009,0.0016,0.007,0.0023,0.003,2,1,3
104,0.0054,0.0004,0.0017,0.0216,0.005,0.0112,0.0322,0.0005,0.002,0.0238,0.0067,0.0118,0.0196,0.0204,0.0015,0.0112,0.0038,0.0248,2,1,4
105,0.0053,0.0028,0.0006,0.0197,0.0033,0.0083,0.04026,0.00066,0.00103,0.0333,0.003,0.0088,0.0524,0.0001,0.0007,0.0406,0.0063,0.0151,1,1,3
106,0.0302,0.0014,0.0012,0.0127,0.0041,0.0128,0.0478,0.0038,0.002322,0.0197,0.0057,0.0056,0.4786,0.0121,0.0017,0.0279,0.0079,0.0096,3,3,4
107,0.0501,0.0007,0.0001,0.0101,0.0017,0.004,0.0494,0.0017,0.0006,0.0091,0.0035,0.0047,0.0237,0.001,0.0023,0.0246,0.0089,0.0121,1,1,3
108,0.0387,0.0002,0.0013,0.016,0.0045,0.0082,0.0346,0.0006,0.0005,0.0178,0.0016,0.0039,0.0572,0.002,0.0011,0.0213,0.0045,0.0115,1,1,3
109,0.0832,0.0027,0.00085,0.014,0.0028,0.0076,0.1169,0.0047,0.000575,0.0201,0.0058,0.0082,0.0527,0.0021,0.0042,0.0394,0.0094,0.0074,2,1,3
110,0.015,0.0005,0.0017,0.0252,0.002,0.0048,0.0096,0.0009,0.0022,0.0268,0.0035,0.0045,0.0113,0.0048,0.0026,0.0311,0.0084,0.0052,1,1,3
111,0.0404,0.0023,0.001,0.013,0.0015,0.0036,0.0471,0.0023,0.0013,0.0174,0.003,0.0078,0.0033,0.0082,0.0019,0.0115,0.0044,0.0053,1,1,3
112,0.0539,0.0002,0.0025,0.0127,0.0032,0.0086,0.0565,0.0016,0.001199,0.0226,0.0035,0.008,0.01,0.0015,0.0034,0.0373,0.0139,0.0167,1,4,4
113,0.0459,0.0008,0.001,0.0222,0.0052,0.0128,0.0587,0.0003,0.0004,0.021,0.0056,0.0077,0.0859,0.0037,0.0015,0.0216,0.007,0.0153,1,1,4
114,0.036,0.0034,0.0018,0.021,0.0026,0.0041,0.05,0.0002,0.0018,0.0215,0.0029,0.0051,0.0151,0.001,0.0017,0.0187,0.0077,0.0049,1,1,3
115,0.0379,0.0006,0.001,0.0259,0.0069,0.0048,0.0492,0.0019,0.001,0.0288,0.0044,0.0098,0.1352,0.0036,0.0022,0.0488,0.0122,0.02,3,3,4
116,0.0308,0.0151,0.00137,0.0121,0.0029,0.0088,0.0568,0.0011,0.0014,0.0287,0.0046,0.0095,0.0439,0.001,0.0008,0.0231,0.0116,0.0044,2,4,4
117,0.1379,0.0023,0.0013,0.0221,0.0058,0.0116,0.0588,0.0007,0.0011,0.0154,0.0045,0.0093,0.052,0.0003,0.002,0.0773,0.015,0.014,1,1,3
118,0.0331,0.0023,0.0019,0.0141,0.0016,0.0078,0.0534,0.0497,0.0015,0.0268,0.0066,0.0078,0.024,0.0048,0.0008,0.0485,0.0141,0.0133,4,1,3
119,0.1201,0.0008,0.0024,0.0129,0.0028,0.0049,0.0073,0.0016,0.0016,0.0164,0.0035,0.0133,0.0783,0.0006,0.0007,0.0415,0.0103,0.0259,1,1,3
120,0.0074,0.0078,0.0011,0.0165,0.0024,0.0034,0.0003,0.0017,0.0002,0.0201,0.0053,0.0097,0.074,0.0019,0.0032,0.0322,0.0077,0.0138,1,1,3
121,0.1175,0.0022,0.0013,0.0239,0.0067,0.0109,0.0003,0.0017,0.0002,0.0201,0.0053,0.0097,0.074,0.0019,0.0032,0.0322,0.0077,0.0138,1,1,3
122,0.009,0.0032,0.0002,0.0103,0.0026,0.005,0.1341,0.0002,0.001,0.0148,0.0045,0.0043,0.1008,0.0013,0.0033,0.018,0.0029,0.0068,1,1,3
123,0.0235,0.0023,0.0017,0.0097,0.0018,0.0084,0.0888,0.0062,0.0014,0.0285,0.0041,0.007,0.0347,0.0013,0.001701,0.0233,0.0071,0.0102,1,1,3
124,0.0042,0.0044,0.0025,0.0169,0.003,0.0073,0.0888,0.0062,0.0014,0.0285,0.0041,0.007,0.0321,0.0026,0.0012,0.0525,0.0067,0.0088,1,1,2
125,0.0009,0.0017,0.002,0.0191,0.0017,0.0141,0.0913,0.0138,0.0015,0.0165,0.0057,0.0035,0.044,0.0005,0.0013,0.0225,0.0079,0.0016,1,1,3
126,0.068,0.0005,0.0019,0.0087,0.0023,0.0035,0.0036,0.0011,0.0021,0.0121,0.0026,0.0073,0.0344,0.0006,0.0015,0.0436,0.0126,0.00079,1,1,3
127,0.002,0.0021,0.0007,0.0409,0.0051,0.0032,0.0007,0.0014,0.0002,0.0145,0.0038,0.0081,0.0346,0.0002,0.0026,0.0373,0.0102,0.0102,1,1,3
128,0.0042,0.0066,0.0014,0.0115,0.0029,0.0063,0.0036,0.0023,0.0011,0.0182,0.0036,0.0087,0.0257,0.002,0.0017,0.0522,0.0096,0.02,1,1,4
129,0.0171,0.0021,0.0008,0.0101,0.002,0.0042,0.0422,0.0004,0.001,0.0274,0.0021,0.0028,0.0659,0.0085,0.0011,0.0183,0.0086,0.0094,1,1,3
130,0.129,0.0082,0.0019,0.0115,0.0044,0.0053,0.0215,0.0002,0.0004,0.0256,0.0068,0.0148,0.032,0.0005,0.0005,0.0388,0.0096,0.006,1,1,3
131,0.0631,0.0015,0.0013,0.0065,0.0017,0.011,0.0725,0.0007,0.0016,0.0167,0.003,0.0075,0.0165,0.0043,0.0015,0.0133,0.0011,0.0041,1,1,3
132,0.0844,0.0021,0.0017,0.0102,0.0011,0.0032,0.105,0.0016,0.0019,0.0178,0.0041,0.0123,0.0697,0.0019,0.003,0.0183,0.0074,0.0093,1,1,2
133,0.0418,0.0015,0.0014,0.0232,0.0016,0.0047,0.0365,0.0047,0.0011,0.0225,0.0048,0.0087,0.0003,0.0028,0.0029,0.019,0.0047,0.0102,1,1,3
134,0.0196,0.0002,0.0012,0.0249,0.0022,0.0072,0.0286,0.0359,0.0005,0.021,0.0052,0.0085,0.004,0.001,0.0037,0.0166,0.004,0.009,1,1,3
135,0.0722,0.0024,0.001,0.0101,0.0033,0.0081,0.0015,0.0046,0.0009,0.0289,0.0084,0.0108,0.0618,0.0028,0.001,0.0222,0.0061,0.0151,1,1,3
136,0.1194,0.0018,0.0013,0.0105,0.0015,0.0035,0.0467,0.0365,0.0016,0.0402,0.002,0.0078,0.0096,0.0004,0.0003,0.0337,0.0111,0.0192,1,3,2
137,0.0457,0.0001,0.0009,0.0133,0.0035,0.0091,0.0488,0.0048,0.0004,0.0151,0.0037,0.0109,0.0012,0.0003,0.0007,0.0253,0.0021,0.0042,1,1,3
138,0.0698,0.002,0.0009,0.008,0.0014,0.0035,0.0775,0.0109,0.0015,0.0205,0.0045,0.0105,0.1039,0.0011,0.0043,0.0292,0.004,0.0107,1,1,2
139,0.0213,0.0042,0.0012,0.0159,0.0034,0.0044,0.0141,0.0002,0.0004,0.0369,0.0047,0.01,0.015,0.0015,0.0021,0.0371,0.0084,0.0267,1,1,3
140,0.0662,0.0013,0.0013,0.0206,0.0039,0.0055,0.1031,0.0034,0.0034,0.0127,0.0013,0.004,0.0301,0.0026,0.0062,0.019,0.0037,0.0082,1,1,3
141,0.0769,0.0012,0.0013,0.0151,0.0031,0.0034,0.0007,0.0002,0.0019,0.0358,0.0025,0.0038,0.0031,0.0012,0.0012,0.0642,0.0237,0.0083,1,4,2
142,0.01,0.0013,0.0023,0.0316,0.0048,0.0085,0.0879,0.0022,0.0013,0.0105,0.0013,0.0035,0.0994,0.0016,0.0066,0.006,0.0015,0.0044,1,1,2
143,0.0299,0.0006,0.0026,0.0053,0.001,0.0034,0.0457,0.0051,0.0008,0.0104,0.0032,0.0043,0.0608,0.0014,0.0033,0.0221,0.0055,0.01,1,1,3
